Actual Values (Test Data),Predicted Values (Test Data)
0.7438914027149321,0.8164886877828047
-0.2751131221719457,-0.18179185520361985
-0.2099547511312217,-0.2590407239819001
0.1285067873303167,0.14394570135746587
1.0841628959276015,1.105212669683259
0.1828054298642533,0.1743891402714929
0.816289592760181,0.851294117647058
0.2479638009049773,0.6410316742081438
-0.3529411764705882,-0.3528687782805424
-0.3873303167420814,-0.4462986425339359
-0.2190045248868778,-0.22209954751131186
0.2425339366515837,0.31540271493212624
1.0190045248868778,1.352361990950226
0.9158371040723982,0.8439638009049766
0.0760180995475113,0.09516742081447953
0.1176470588235294,0.06180995475113121
0.3221719457013575,0.35958371040723924
0.7855203619909502,0.8980995475113118
-0.1828054298642533,-0.2647058823529408
0.4452488687782805,0.4513484162895921
0.1900452488687782,0.2706063348416286
0.0542986425339366,0.049393665158371014
0.7257918552036199,0.706714932126696
-0.6642533936651583,-0.6516199095022616
-0.3819004524886877,-0.4365610859728498
0.6895927601809955,0.8101719457013569
1.404524886877828,1.3954208144796383
-0.0687782805429864,-0.013357466063348436
-0.0705882352941176,-0.126153846153846
1.625339366515837,1.8474932126696828
0.6950226244343891,0.6550769230769221
1.0552036199095025,1.123457013574661
-0.5411764705882353,-0.5649049773755651
-0.6389140271493212,-0.6360904977375558
-0.5990950226244344,-0.605429864253393
-0.5918552036199095,-0.5837104072398184
-0.3963800904977375,-0.4460452488687774
-0.2570135746606334,-0.2965610859728503
-0.1339366515837104,-0.15578280542986403
1.7683257918552036,1.7399457013574644
-0.4633484162895928,-0.4902624434389133
0.2352941176470588,0.1563981900452486
-0.2479638009049773,-0.17752036199094992
-0.6751131221719457,-0.682298642533936
-0.6805429864253394,-0.6844705882352933
0.0760180995475113,-0.02030769230769231
0.5285067873303168,0.6456832579185514
-0.2443438914027149,-0.19630769230769204
-0.6262443438914027,-0.6326696832579177
