,0
17-Jan,22.840544593551975
17-Feb,21.553227234632104
17-Mar,20.762510517475274
17-Apr,20.901203478764725
17-May,19.483173893464766
17-Jun,20.543874760279483
17-Jul,20.986655293083647
17-Aug,20.605759913259675
17-Sep,19.792720498647505
17-Oct,21.258079410981942
17-Nov,20.20669236715078
18-Jan,21.188188902649717
18-Feb,24.155678319595896
18-Mar,22.385751796917987
18-Apr,20.95352981662847
18-May,19.839110332515265
18-Jun,18.05090746189332
18-Jul,20.174730077882234
18-Aug,22.444852334340197
18-Sep,18.638459826118126
18-Oct,18.78749198017284
18-Nov,20.83392464944816
18-Dec,19.044456489227933
19-Jan,20.56876731361834
19-Feb,22.400456001952268
19-Mar,22.075115693515883
19-Apr,21.014942067864844
19-May,16.62001545117024
19-Jun,17.2951827103587
19-Jul,17.227365864726636
19-Aug,18.81942190065612
19-Sep,20.697199866478933
19-Oct,16.758028595370966
19-Nov,18.98936254431922
19-Dec,17.638726362441194
20-Jan,20.516450166427983
20-Feb,18.442628778207602
20-Mar,21.17882973396811
20-Jul,11.246436145022773
20-Aug,10.703253570955567
20-Sep,11.061772117560878
20-Oct,9.679877778201323
20-Nov,11.789140101163046
20-Dec,11.548576330890413
21-Jan,17.19703709521445
21-Feb,16.67631797272164
21-Mar,15.084320954216125
21-Apr,12.600504560727538
21-May,12.617628588068737
21-Jun,13.28661787908538
21-Jul,13.733616231118539
21-Aug,13.131042215021882
21-Sep,10.587449785869243
21-Oct,12.025265883311636
21-Nov,11.111523148130615
21-Dec,13.164648439937238
22-Jan,13.382845084867487
22-Feb,18.06474250477449
22-Mar,15.670183917410522
22-Apr,14.132981869702302
22-May,15.919455191206804
22-Jun,14.059073721826167
22-Jul,13.21953222278
22-Aug,12.240876048245502
22-Sep,9.58936597265814
22-Oct,9.255855733774084
22-Nov,10.240647425795322
22-Dec,11.725221862323941
23-Jan,9.835924699345286
23-Feb,13.376346309356812
23-Mar,9.692457522897401
23-Apr,8.81514563280296
23-May,9.248966736102282
23-Jun,8.439496614927425
23-Jul,8.056950227811019
23-Aug,8.998647580021952
23-Sep,6.883358034448071
23-Oct,9.16326161839854
23-Nov,8.080161446684533
23-Dec,10.069976918726649
24-Jan,7.544098936378041
24-Feb,7.375661371287701
24-Mar,5.8874043674335
24-Apr,4.627204450119325
24-May,4.306698421341762
24-Jun,4.204313879052572
24-Jul,3.803148511837745
24-Aug,4.073068197697335
